,Compagnie d'assurance,Date de création,Nom et Prénom Assuré /Raison Sociale,Immatriculation Véhicule assuré,Mode de gestion,Garantie impliquée,Chargé réparation,Marque,Réparateur,Expert,Compagnie adverse,Accord VR (Véhicule de remplacement),Agence,Agent,Cas de barème,Chargé acceptation,Code agence,Date Accident,Date acceptation,Date accord (SST),Date demande,Etape Dossier,Etat d'approbation,Immatriculation tiers,Montant total devis,Nom et Prénom tiers /Raison Sociale,Numero sinistre,Numéro de contrat,Point Choc,Position GA,SST,Nbr réclamations antérieures,Day Accident,Month Accident,Year Accident,Day demande,Month demande,Year demande,Retard reclamation,Fraud
162,8,8,908,279,1,5,0,1,69,29,16,0,8,8,1,1,56,234,413,609,171,16,0,783,250,384,800,899,70,1,4,1,28,11,0,4,11,0,60,0
163,8,380,514,149,1,0,0,10,69,29,16,0,8,8,0,0,56,10,524,280,8,16,0,556,662,289,799,845,4,1,1,0,3,0,0,8,0,0,54,0
164,6,329,510,18,3,3,5,11,59,28,13,0,23,24,1,2,76,75,644,186,56,16,0,13,657,876,798,75,70,1,3,0,13,5,0,14,5,0,1,0
165,6,211,259,718,3,3,5,40,49,28,4,0,23,24,1,1,76,67,373,560,52,16,0,506,633,404,797,73,70,1,4,0,4,5,0,6,5,0,22,0
166,6,232,78,1016,3,3,0,31,69,29,14,0,23,24,19,1,76,68,364,535,52,16,0,976,46,962,796,524,45,0,4,0,5,5,0,6,5,0,1,0
167,6,35,30,3,3,3,0,11,69,29,7,0,23,24,4,1,76,4,354,645,6,16,0,382,124,156,795,108,54,1,4,0,27,0,0,6,0,0,73,0
168,7,96,222,820,1,0,3,6,45,29,16,2,8,8,0,1,56,333,837,827,248,4,0,332,878,718,794,777,4,1,0,0,23,3,0,24,3,0,1,0
169,6,232,651,545,3,3,0,18,69,29,1,0,8,8,1,1,56,285,735,529,211,16,0,664,802,201,793,4,30,1,4,1,26,2,0,29,2,0,35,0
170,8,60,846,270,1,5,1,24,25,18,1,0,23,24,4,1,76,234,351,77,172,16,0,328,796,422,792,133,30,1,1,1,28,11,0,7,11,0,73,0
171,8,60,846,270,1,5,1,24,25,18,16,0,23,24,19,1,76,232,135,500,166,16,0,976,450,962,1079,706,30,0,3,1,26,11,0,27,11,0,1,0
172,8,40,900,65,1,5,1,14,53,6,1,2,23,24,19,1,76,198,839,827,146,10,0,976,878,962,791,581,20,0,0,0,20,9,0,29,10,0,5,0
173,8,41,896,140,1,5,8,33,57,11,13,0,23,24,0,0,76,3,747,732,1,16,0,31,684,825,790,135,4,1,1,0,25,0,0,29,0,0,45,0
174,8,42,705,625,1,5,1,5,45,6,16,0,23,24,19,1,76,172,294,493,131,16,0,976,359,962,789,706,30,0,1,0,21,8,0,3,9,0,8,0
175,8,42,111,721,1,5,2,31,58,6,16,2,8,8,1,1,56,134,839,827,96,13,0,149,878,198,788,873,59,1,0,0,12,7,0,14,7,0,22,0
176,8,42,1004,333,3,3,0,6,69,29,2,0,8,8,1,1,56,129,565,33,94,16,0,131,688,136,787,889,5,1,1,0,6,7,0,12,7,0,54,1
177,8,45,266,833,1,5,1,10,50,8,16,0,23,24,1,1,76,106,606,675,78,16,0,448,332,572,786,440,59,1,4,0,14,6,0,16,6,0,22,0
178,8,49,476,735,3,3,6,10,65,6,7,0,23,24,4,0,76,72,533,673,53,16,0,502,345,661,785,278,54,1,3,0,9,5,0,9,5,0,0,0
179,8,61,302,699,1,5,0,6,69,29,16,0,23,24,0,0,76,67,369,705,52,16,0,308,98,406,783,151,23,1,3,0,4,5,0,6,5,0,22,1
180,8,70,942,879,1,5,7,29,38,6,16,0,23,24,0,1,76,52,9,536,40,16,0,722,729,391,782,725,59,1,4,0,18,4,0,0,5,0,35,0
181,8,153,988,171,1,5,1,40,33,11,12,2,88,88,19,1,0,324,470,824,238,9,0,653,622,112,781,977,30,1,1,0,7,3,0,8,3,0,1,0
182,7,59,437,54,3,3,0,10,69,29,2,2,23,24,4,1,76,298,815,827,240,2,0,401,878,382,780,824,71,1,0,0,10,2,0,10,3,0,36,0
183,7,321,374,467,1,1,1,2,69,29,12,2,78,77,19,2,21,296,839,827,221,10,0,976,878,962,779,851,6,0,0,0,8,2,0,14,2,0,54,0
184,7,126,77,511,1,0,3,24,61,29,16,0,23,24,1,0,76,33,172,647,23,16,0,41,355,141,778,850,71,1,4,0,27,4,0,29,4,0,22,0
185,7,70,861,197,3,3,6,7,6,4,2,2,48,48,1,1,50,32,839,827,23,4,0,199,878,715,777,172,30,1,0,0,26,4,0,29,4,0,35,0
186,7,57,1027,953,2,3,2,40,33,4,1,0,23,24,6,1,76,255,595,666,194,16,0,627,733,8,776,563,70,1,4,0,22,1,0,7,1,0,8,0
187,2,309,9,247,1,1,8,11,53,11,16,0,23,24,6,1,76,32,97,476,21,16,0,797,136,469,775,392,64,1,1,0,26,4,0,26,4,0,0,0
188,2,45,363,827,3,3,2,11,3,19,2,2,23,24,1,1,76,233,839,827,172,13,0,965,878,841,1078,824,30,1,0,1,27,11,0,7,11,0,2,0
189,2,387,407,148,1,2,8,10,57,20,7,0,48,48,4,1,50,229,628,168,180,16,0,416,405,46,774,238,64,1,4,0,11,11,0,18,11,0,27,0
190,3,44,164,542,3,3,1,18,62,8,2,0,76,6,1,1,23,235,137,320,185,16,0,976,677,962,773,486,7,0,4,0,29,11,0,22,1,0,28,1
191,2,43,885,886,1,1,3,32,0,19,16,0,23,24,19,1,76,229,132,257,166,16,0,976,393,962,772,598,54,0,1,0,11,11,0,27,11,0,45,0
192,3,77,524,552,2,3,2,31,33,19,0,0,7,78,0,1,25,205,348,349,180,16,0,888,421,803,771,634,4,1,4,0,28,10,0,18,11,0,55,0
193,3,56,884,343,3,3,0,30,69,29,1,0,7,78,19,1,25,196,781,164,139,16,0,968,694,588,1077,771,64,0,1,0,18,9,0,21,9,0,35,1
194,2,45,363,827,1,1,2,11,3,19,12,0,7,78,0,1,25,174,434,460,127,16,0,43,643,117,770,69,4,1,3,1,11,9,0,29,9,0,60,0
195,3,46,460,828,3,3,8,40,57,22,10,0,7,78,5,1,25,152,430,544,112,16,0,423,797,904,769,950,59,1,4,0,30,8,0,8,8,0,70,0
196,3,54,118,1019,1,1,6,7,6,11,12,0,23,24,1,1,76,140,824,288,104,16,0,424,730,507,768,278,70,1,4,0,18,7,0,24,7,0,54,1
197,3,77,2,84,3,3,6,33,31,25,10,0,7,78,1,1,25,134,607,207,98,16,0,628,578,415,767,330,64,1,1,0,12,7,0,16,7,0,45,0
198,0,103,557,482,3,3,0,30,69,29,3,0,76,6,19,1,23,123,588,817,97,16,0,976,279,962,766,262,0,0,3,0,30,7,0,15,7,0,11,0
199,6,355,663,652,3,3,6,31,33,3,2,0,23,24,19,1,76,107,61,187,84,16,0,306,47,244,765,158,70,0,4,0,15,6,0,22,7,0,2,0
200,1,216,493,851,1,1,7,39,14,5,7,2,7,78,0,1,25,101,839,827,76,10,0,806,878,935,764,46,4,1,0,0,7,6,0,14,6,0,60,0
201,6,402,82,731,3,3,8,18,29,20,0,0,23,24,19,1,76,99,395,586,72,16,0,976,105,962,763,725,4,0,1,0,5,6,0,7,6,0,22,0
202,6,439,553,493,3,3,5,6,59,28,0,0,23,24,19,1,76,93,374,409,71,16,0,976,818,962,762,524,30,0,1,0,29,6,0,6,6,0,65,0
203,6,444,631,975,3,3,1,31,69,29,2,2,7,78,5,1,25,95,839,827,74,4,0,376,878,435,761,426,30,1,0,0,1,6,0,9,6,0,70,0
204,1,60,548,910,1,1,2,28,69,29,14,2,51,51,14,1,24,93,393,827,69,4,0,282,878,114,760,616,64,1,0,0,29,6,0,2,6,0,35,0
205,1,68,750,599,3,3,1,30,45,4,2,2,29,30,0,1,39,89,839,827,67,11,0,680,878,252,759,536,4,1,0,0,25,6,0,29,6,0,45,0
206,1,157,895,719,1,1,7,10,69,29,16,0,7,78,1,1,25,81,10,380,62,16,0,374,307,795,758,881,59,1,1,0,19,5,0,0,6,0,54,0
207,1,144,22,410,3,3,0,18,69,29,14,0,51,51,1,1,24,78,752,640,60,16,0,27,399,135,757,115,63,1,1,0,16,5,0,20,5,0,45,1
208,1,144,169,99,1,1,0,23,69,29,5,0,23,24,14,2,76,79,755,360,59,16,0,839,295,526,756,305,64,1,1,0,17,5,0,19,5,0,22,0
209,1,159,959,896,1,1,7,6,41,15,7,0,7,78,18,2,25,76,713,286,59,16,0,514,860,768,755,872,70,1,1,0,14,5,0,19,5,0,54,0
210,1,190,761,966,3,3,0,5,69,29,7,0,76,6,5,1,23,56,255,653,48,15,0,126,498,371,754,434,64,1,1,0,11,5,0,2,5,0,73,1
211,1,224,969,942,3,3,5,12,32,25,10,0,78,77,19,1,21,31,284,652,26,16,0,976,861,962,1076,482,60,0,1,0,25,4,0,3,4,0,70,0
212,1,228,73,225,1,1,7,31,21,5,1,0,78,77,4,1,21,29,336,14,23,16,0,260,794,199,753,470,30,1,3,0,11,4,0,29,4,0,60,0
213,1,219,403,456,1,0,0,37,69,29,16,0,23,24,1,2,76,25,821,275,18,16,0,242,326,634,752,147,54,1,1,0,21,0,0,24,0,0,22,0
214,1,257,88,682,3,3,7,10,56,14,1,2,78,77,0,1,21,21,839,827,15,11,0,799,878,310,751,724,4,1,0,0,16,0,0,20,0,0,45,0
215,1,248,441,1030,3,3,8,19,0,11,13,0,7,78,14,1,25,9,552,813,9,16,0,77,192,723,750,781,64,1,1,0,2,0,0,9,0,0,65,0
216,1,347,470,819,3,3,1,18,39,0,0,2,8,8,8,2,56,9,839,827,6,10,0,562,878,789,784,736,64,1,0,0,2,0,0,6,0,0,45,1
217,1,372,262,877,3,3,1,36,20,17,0,0,29,30,1,0,39,3,228,762,2,16,0,686,0,261,749,281,46,1,1,0,25,0,0,30,0,0,54,1
218,6,214,664,146,3,3,5,24,22,1,6,0,28,29,1,1,7,91,290,61,70,15,0,847,795,204,747,409,70,1,1,0,27,6,0,3,6,0,60,0
219,6,156,385,29,3,3,5,6,26,28,3,0,15,15,18,1,6,93,376,363,71,16,0,752,653,801,746,882,70,1,3,0,29,6,0,6,6,0,65,0
220,6,338,859,526,3,3,8,18,29,21,7,0,15,15,14,1,6,95,377,450,70,16,0,493,624,234,745,58,70,1,1,0,1,6,0,3,6,0,22,0
221,8,57,809,1013,1,5,2,11,3,11,16,1,31,32,15,2,12,89,235,361,67,16,0,641,510,731,744,317,54,1,1,0,25,6,0,29,6,0,45,0
222,8,70,962,259,1,5,8,40,30,25,1,0,61,61,19,1,51,88,179,593,67,16,0,412,738,598,743,917,70,0,1,1,22,6,0,29,6,0,54,0
223,8,54,901,591,3,3,1,6,45,11,2,0,63,64,1,1,28,12,819,671,18,16,0,828,865,701,742,775,46,1,4,0,6,0,0,24,0,0,17,0
224,8,70,916,139,1,5,7,14,56,10,16,0,15,15,1,1,6,89,105,447,66,15,0,865,369,614,741,52,71,1,1,0,25,6,0,26,6,0,1,0
225,8,55,923,207,1,5,2,37,8,25,16,0,61,61,1,1,51,85,81,595,65,15,0,162,411,149,740,124,23,1,1,0,24,5,0,25,6,0,45,0
226,8,57,869,733,1,0,3,6,45,29,16,2,31,32,1,1,12,82,839,827,70,10,0,894,878,751,739,173,42,1,0,0,20,5,0,3,6,0,15,0
227,8,60,722,287,1,6,2,39,3,23,14,0,31,32,1,1,12,83,30,143,63,16,0,127,179,236,738,688,70,1,4,0,21,5,0,11,6,0,45,0
228,8,62,893,327,1,6,7,29,38,16,3,0,15,15,0,1,6,82,54,377,64,16,0,322,414,249,737,107,23,1,1,0,20,5,0,22,6,0,60,0
229,8,107,418,856,1,5,5,39,26,28,16,0,15,15,19,1,6,81,84,224,65,16,0,696,428,292,736,322,42,0,1,0,19,5,0,25,6,0,70,0
230,8,77,636,914,1,5,8,14,53,25,16,0,31,32,1,1,12,79,103,448,66,16,0,263,37,567,735,683,59,1,1,0,17,5,0,26,6,0,5,0
231,8,73,1024,470,3,3,5,10,42,28,2,0,61,61,5,1,51,72,558,31,56,16,0,935,184,736,734,919,64,1,3,0,9,5,0,14,5,0,45,1
232,8,78,856,464,1,5,8,25,57,11,16,0,61,61,4,1,51,71,555,113,56,16,0,910,603,940,733,335,54,1,1,0,8,5,0,14,5,0,54,0
233,8,77,167,389,1,5,8,15,57,11,2,1,15,15,5,1,6,69,801,343,55,16,0,587,212,960,1075,686,54,1,1,0,6,5,0,13,5,0,60,0
234,8,77,325,118,3,3,6,6,31,25,10,0,88,88,4,0,0,68,479,59,53,16,0,756,415,714,732,142,38,0,1,0,5,5,0,9,5,0,45,0
235,8,78,853,358,1,5,6,40,31,4,11,0,15,15,4,1,6,64,365,83,52,16,0,787,456,259,731,31,30,1,1,0,1,5,0,6,5,0,54,0
236,8,83,1006,223,1,6,8,13,57,4,2,0,61,61,1,0,51,64,334,534,51,15,0,674,259,267,730,137,63,1,4,0,1,5,0,5,5,0,45,0
237,8,108,626,375,1,5,0,18,69,29,16,2,61,61,14,0,51,65,839,827,51,11,0,777,878,700,729,188,42,1,0,0,2,5,0,5,5,0,35,0
238,8,83,922,293,1,5,7,34,46,15,16,2,31,32,5,1,12,61,839,565,50,10,0,59,854,846,728,664,30,1,4,0,28,5,0,4,5,0,60,0
239,8,80,20,720,1,0,3,10,59,29,16,0,61,61,4,1,51,99,62,307,84,16,0,257,459,118,727,450,68,1,1,0,5,6,0,22,7,0,21,0
240,8,84,913,971,1,5,1,5,31,6,16,0,15,15,1,1,6,60,233,561,47,16,0,938,122,157,726,254,30,1,1,1,27,5,0,1,5,0,45,0
241,8,84,913,971,1,5,1,5,31,6,13,0,31,32,1,1,12,61,285,357,47,16,0,667,595,870,725,991,21,1,1,1,28,5,0,1,5,0,35,0
242,8,88,996,887,1,0,3,32,61,29,16,2,61,61,19,1,51,61,839,827,45,10,0,976,878,962,724,770,59,0,0,0,28,5,0,29,5,0,1,0
243,8,89,676,979,3,3,2,32,33,25,0,0,15,15,5,0,6,57,257,10,45,16,0,394,237,322,723,194,30,1,1,0,22,5,0,29,5,0,54,0
244,8,308,416,768,3,3,1,40,36,19,7,0,31,32,11,0,12,55,148,615,44,16,0,447,676,455,722,970,9,1,1,0,0,5,0,28,5,0,60,0
245,8,106,81,425,3,3,6,33,31,22,14,2,15,15,14,0,6,59,839,827,44,10,0,794,878,456,721,12,63,1,0,0,26,5,0,28,5,0,22,0
246,8,100,1030,592,3,3,2,32,33,11,0,0,15,15,15,1,6,58,256,676,47,15,0,728,76,769,720,44,45,1,4,0,25,5,0,1,5,0,60,1
247,8,100,544,935,1,6,2,32,0,25,13,0,38,39,10,0,10,6,356,555,5,16,0,178,635,868,719,37,51,1,1,0,29,0,0,5,0,0,60,0
248,8,101,952,275,1,5,8,40,57,25,14,0,61,61,0,0,51,58,145,512,43,16,0,427,347,807,718,191,4,1,1,0,25,5,0,27,5,0,22,0
249,8,87,360,78,3,3,8,10,57,22,2,0,15,15,19,2,6,52,147,339,43,16,0,976,716,962,717,871,54,0,4,0,18,4,0,27,5,0,70,0
250,8,102,613,48,3,3,5,3,22,1,7,0,89,89,19,2,2,52,128,57,42,16,0,976,94,962,716,852,64,0,1,0,18,4,0,26,5,0,65,0
251,8,108,481,845,3,3,0,32,69,29,2,0,38,39,11,1,10,50,7,141,40,16,0,56,140,505,1074,33,4,1,4,0,15,4,0,0,5,0,60,1
252,8,131,279,881,1,0,3,40,61,29,16,0,43,43,19,0,66,50,332,338,38,16,0,976,652,962,715,280,30,0,1,0,15,4,0,19,4,0,45,0
253,8,103,114,30,1,6,2,40,33,25,1,0,15,15,4,1,6,51,670,183,37,16,0,790,365,425,714,291,64,1,1,0,17,4,0,18,4,0,1,0
254,8,103,336,1010,1,6,6,33,31,25,0,2,38,39,4,1,10,47,839,827,43,10,0,138,339,37,713,62,30,1,0,0,12,4,0,27,5,0,11,0
255,8,123,42,289,2,3,1,18,39,6,1,0,38,39,5,1,10,49,190,226,123,16,0,163,219,16,712,870,46,1,4,0,14,4,0,11,9,0,9,0
256,8,103,795,853,1,5,7,23,13,16,16,0,15,15,1,0,6,45,667,336,34,16,0,16,340,92,711,77,74,1,4,0,9,4,0,14,4,0,45,0
257,8,108,843,772,1,5,8,40,57,6,16,0,43,43,19,0,66,46,709,243,38,16,0,24,779,494,710,627,64,0,1,2,10,4,0,19,4,0,70,0
258,8,115,800,249,3,3,6,6,31,11,1,1,15,15,1,0,6,4,525,592,8,16,0,94,695,671,709,17,70,1,1,0,27,0,0,8,0,0,5,0
259,8,114,662,499,1,5,6,40,31,6,16,0,15,15,1,0,6,33,636,743,34,16,0,370,154,476,708,8,74,1,1,0,27,4,0,14,4,0,17,0
260,8,130,951,135,1,5,8,14,53,11,16,0,38,39,14,0,10,43,638,699,34,16,0,90,799,938,707,466,71,1,1,0,7,4,0,14,4,0,60,0
261,8,118,789,468,1,5,2,39,3,11,2,0,55,55,9,1,75,5,441,104,7,16,0,932,77,879,706,30,70,1,1,0,28,0,0,7,0,0,73,0
262,8,242,933,86,1,5,8,14,53,11,16,2,38,39,5,1,10,44,839,827,40,11,0,124,878,64,705,40,64,1,0,0,8,4,0,0,5,0,7,0
263,8,124,265,575,1,0,3,31,26,29,16,2,38,39,19,1,10,331,838,827,248,12,0,976,878,962,704,473,30,0,0,0,17,3,0,24,3,0,60,0
264,8,122,940,684,1,5,8,14,53,11,11,0,31,32,1,1,12,40,712,142,38,16,0,34,588,753,703,750,64,1,1,0,4,4,0,19,4,0,11,0
265,8,136,370,1012,1,5,0,7,69,29,16,2,38,39,19,1,10,330,839,827,244,1,3,391,878,933,702,512,30,0,0,0,16,3,0,17,3,0,1,0
266,8,141,85,546,3,3,0,4,69,29,11,2,15,15,0,1,6,324,471,613,239,6,0,277,300,95,701,103,4,1,4,0,7,3,0,9,3,0,22,0
267,8,138,140,393,1,6,8,3,57,11,13,0,15,15,1,1,6,323,468,730,238,16,0,38,743,131,429,179,70,1,3,0,5,3,0,8,3,0,35,0
268,8,143,490,14,1,5,7,18,17,15,16,0,15,15,19,0,6,37,305,354,27,16,0,602,305,401,700,465,30,0,4,0,1,4,0,4,4,0,35,0
269,8,142,513,852,3,3,0,3,69,29,7,0,15,15,0,1,6,321,329,810,236,16,0,532,473,379,428,975,4,1,4,0,3,3,0,4,3,0,1,1
270,8,143,369,617,1,6,6,40,31,6,12,2,31,32,1,1,12,314,437,473,234,7,0,58,449,485,699,186,54,1,4,0,26,3,0,2,3,0,60,0
271,8,143,585,1037,1,0,3,39,5,29,16,2,15,15,4,1,6,317,302,531,233,6,0,880,67,787,1020,141,54,1,4,0,29,3,0,1,3,0,22,0
272,8,151,261,271,1,5,6,31,7,19,12,0,31,32,1,1,12,316,276,327,234,16,0,592,14,91,698,199,59,1,4,0,28,3,0,2,3,0,45,0
273,8,143,944,690,1,5,6,6,31,11,16,2,38,39,1,1,10,315,273,642,233,6,0,405,533,133,697,16,5,1,1,0,27,3,0,1,3,0,45,0
274,8,145,97,771,3,3,8,32,57,6,10,0,15,15,0,1,6,313,138,729,231,16,0,462,717,517,696,459,4,1,3,0,25,3,0,27,3,0,22,0
275,8,152,255,873,3,3,6,10,65,11,2,0,15,15,5,1,6,311,140,472,229,16,0,970,847,122,427,14,54,1,4,0,11,3,0,25,3,0,22,1
276,8,152,307,130,1,6,0,32,69,29,14,0,15,15,19,1,6,38,361,159,27,16,0,70,805,20,695,499,30,0,1,1,2,4,0,4,4,0,22,0
277,8,158,577,1008,1,6,2,18,69,29,7,0,15,15,1,1,6,29,634,278,28,16,0,22,422,534,1073,489,71,1,4,0,11,4,0,5,4,0,7,0
278,8,169,766,290,1,0,3,31,16,29,16,2,15,15,19,1,6,309,53,812,227,9,0,428,793,278,694,818,30,0,4,0,23,2,0,11,3,0,22,0
279,8,160,331,717,1,5,0,24,69,29,1,0,15,15,1,1,6,307,50,128,227,16,0,947,170,719,426,233,54,1,4,0,20,2,0,11,3,0,45,1
280,8,155,716,876,1,6,8,29,0,25,12,0,31,32,1,1,12,35,101,279,36,16,0,738,397,148,693,242,59,1,4,0,29,4,0,17,4,0,19,0
281,8,172,611,284,3,3,6,6,31,22,1,2,15,15,10,1,6,303,740,827,224,4,0,724,878,593,425,874,51,1,0,0,16,2,0,19,2,0,35,1
282,8,159,536,912,3,3,8,40,57,6,2,0,15,15,1,1,6,305,730,786,224,15,0,42,23,188,1072,552,70,1,4,0,18,2,0,19,2,0,1,0
283,8,163,227,738,1,6,8,32,69,29,2,0,15,15,6,1,6,301,765,156,224,15,0,301,146,566,424,264,64,1,4,0,14,2,0,19,2,0,54,0
284,8,190,559,138,3,3,6,30,31,21,0,2,38,39,5,1,10,295,738,827,224,8,0,295,839,439,1071,763,54,1,0,0,6,2,0,19,2,0,7,1
285,8,163,278,104,1,0,3,40,61,29,16,2,38,39,15,1,10,302,694,827,223,8,0,141,280,165,692,56,64,1,0,0,15,2,0,18,2,0,35,0
286,8,167,948,460,1,5,7,23,13,10,1,0,38,39,10,2,10,5,306,440,24,16,0,91,176,411,691,636,51,1,4,0,28,0,0,30,4,0,39,0
287,8,186,487,817,3,3,0,40,69,29,13,2,15,15,1,1,6,299,839,827,221,3,0,287,690,915,423,877,64,1,0,1,12,2,0,14,2,0,22,1
288,8,177,32,949,3,3,1,40,33,25,0,0,15,15,1,2,6,298,734,757,220,16,0,955,838,815,690,863,70,1,4,0,10,2,0,13,2,0,22,0
289,8,171,110,936,1,0,3,6,16,29,16,0,38,39,1,1,10,298,793,53,219,16,0,215,34,587,689,856,30,1,4,0,10,2,0,12,2,0,1,0
290,8,179,947,653,1,6,1,7,33,6,8,2,38,39,16,1,10,295,839,827,218,10,0,470,878,638,688,901,64,1,0,0,6,2,0,10,2,0,45,0
291,8,181,389,585,1,0,3,33,33,29,16,2,43,43,4,1,66,291,696,130,216,6,0,255,773,399,687,78,59,1,4,0,2,2,0,6,2,0,45,0
292,8,186,92,980,3,3,6,40,31,21,0,2,38,39,10,1,10,294,221,827,216,4,0,52,878,559,1070,786,51,1,0,0,5,2,0,6,2,0,1,0
293,8,188,276,392,1,5,5,33,48,1,16,0,31,32,0,1,12,293,386,689,215,16,0,593,511,850,686,993,4,1,1,0,4,2,0,5,2,0,1,0
294,8,190,415,481,3,3,0,7,69,29,1,0,15,15,16,1,6,289,70,825,212,16,0,378,769,779,422,976,74,1,4,0,30,2,0,2,2,0,22,1
295,8,190,971,525,3,3,6,6,31,25,0,0,28,29,1,1,7,288,319,375,214,16,0,920,213,416,685,469,59,1,4,0,29,2,0,4,2,0,54,0
296,8,191,112,793,1,6,6,10,65,11,1,0,15,15,16,1,6,286,698,100,210,16,0,294,703,50,1069,316,46,1,1,0,27,2,0,28,2,0,1,0
297,8,197,245,98,1,5,6,1,31,25,1,2,31,32,0,1,12,277,839,827,210,1,3,45,878,237,684,832,4,1,0,0,20,1,0,28,2,0,2,0
298,8,212,687,921,1,6,8,40,57,11,1,2,15,15,0,1,6,286,839,827,209,10,0,238,878,805,683,741,4,1,0,0,27,2,0,27,2,0,0,0
299,8,212,151,183,1,5,1,31,31,22,13,0,31,32,1,1,12,284,136,322,209,16,0,927,464,318,682,456,64,1,1,0,25,2,0,27,2,0,22,0
300,8,212,294,190,3,3,8,7,69,29,0,0,15,15,1,0,6,1,308,646,5,16,0,937,780,835,681,104,74,1,4,0,11,0,0,5,0,0,7,0
301,8,206,549,595,1,6,0,32,69,29,3,0,31,32,19,1,12,281,92,172,207,16,0,180,760,29,680,416,30,0,1,0,0,2,0,25,2,0,35,0
302,8,210,406,707,1,0,3,40,61,29,16,2,38,39,5,1,10,277,839,827,240,11,0,809,878,540,679,693,54,1,0,0,20,1,0,10,3,0,56,0
303,8,223,576,884,2,3,8,29,0,23,1,2,15,15,10,1,6,277,831,827,205,4,0,339,878,817,678,439,51,1,0,0,20,1,0,24,1,0,35,0
304,8,216,552,150,3,3,8,32,0,11,0,0,94,94,15,1,5,277,117,589,203,16,0,550,815,448,431,500,30,1,1,0,20,1,0,21,1,0,1,0
305,8,214,954,5,1,6,0,40,69,29,1,0,31,32,14,2,12,29,307,139,24,16,0,634,396,758,677,495,4,1,1,0,11,4,0,30,4,0,65,0
306,8,212,329,88,1,0,3,38,44,29,16,0,38,39,0,1,10,274,25,126,202,16,0,189,816,123,676,941,54,1,4,0,17,1,0,20,1,0,35,0
307,8,215,843,366,1,5,7,23,11,5,16,0,38,39,5,1,10,272,739,54,202,16,0,622,93,493,675,800,5,1,4,2,15,1,0,20,1,0,54,0
308,8,222,224,648,3,3,1,18,39,11,1,2,38,39,7,1,10,269,839,827,200,11,0,67,878,67,674,145,58,1,0,0,12,1,0,16,1,0,45,0
309,8,222,100,345,1,5,7,32,24,27,16,2,31,32,4,1,12,269,839,827,200,13,0,788,878,689,673,66,64,1,0,0,12,1,0,16,1,0,45,0
310,8,224,199,446,1,5,5,5,59,1,10,0,28,29,9,1,7,266,543,23,197,16,0,458,500,23,430,140,54,1,4,0,7,1,0,13,1,0,54,0
311,8,231,260,904,3,3,8,40,57,25,5,0,31,32,15,1,12,264,462,299,196,16,0,581,556,169,672,396,64,1,1,0,5,1,0,9,1,0,45,0
312,8,231,695,600,1,5,7,39,66,27,16,0,60,60,1,1,4,266,828,124,198,16,0,945,731,812,671,938,30,1,1,0,7,1,0,14,1,0,60,0
313,8,242,829,70,1,5,7,23,10,6,16,2,28,29,11,1,7,262,839,827,196,10,0,243,18,174,670,89,5,1,0,0,3,1,0,9,1,0,60,0
314,8,246,39,752,1,5,6,32,6,11,16,2,15,15,5,1,6,266,839,784,195,10,0,649,236,592,1068,637,63,0,4,0,7,1,0,8,1,0,1,0
315,8,252,586,230,1,5,8,14,53,6,16,1,31,32,5,1,12,266,623,155,200,16,0,169,682,2,1067,242,70,1,1,0,7,1,0,16,1,0,70,0
316,8,260,1039,955,3,3,8,7,0,21,10,0,28,29,5,1,7,261,544,98,194,16,0,825,833,707,669,140,64,1,4,0,2,1,0,7,1,0,54,1
317,8,279,216,602,2,3,6,40,33,23,1,1,15,15,1,1,6,258,597,25,190,16,0,823,52,854,668,822,23,1,1,0,28,1,0,1,1,0,35,0
318,8,255,138,790,1,0,3,8,61,29,16,0,15,15,1,1,6,253,461,125,190,16,0,438,419,842,667,28,4,1,1,0,0,1,0,1,1,0,73,0
319,8,256,522,1039,3,3,6,10,31,6,13,1,15,15,19,1,6,258,249,469,190,16,0,976,128,962,666,871,73,0,4,0,28,1,0,1,1,0,35,1
320,8,261,390,919,1,6,6,20,65,11,0,0,15,15,19,1,6,258,199,467,188,16,0,976,333,962,665,446,5,0,4,0,28,1,0,29,1,0,1,0
321,8,261,380,615,1,5,6,20,37,6,1,2,31,32,9,1,12,254,839,827,187,10,0,908,878,496,664,11,54,1,0,0,11,1,0,28,1,0,54,0
322,8,261,912,972,3,3,1,18,39,23,0,0,15,15,0,1,6,251,832,27,185,16,0,597,272,511,663,857,4,1,4,0,21,11,0,22,1,0,45,0
323,8,266,203,462,1,5,0,6,69,29,16,2,61,61,1,1,51,31,839,827,21,10,0,603,878,680,662,22,4,1,0,0,25,4,0,26,4,0,1,0
324,8,260,929,882,1,5,5,1,49,1,16,2,38,39,0,1,10,252,839,827,184,11,0,355,878,245,661,624,30,1,0,1,23,11,0,11,1,0,22,1
325,8,293,1007,378,3,3,6,29,6,6,13,0,38,39,0,1,10,252,20,170,182,16,0,313,626,741,660,49,4,1,1,0,23,11,0,23,11,0,0,0
326,8,271,609,513,1,6,8,35,57,11,3,0,31,32,1,1,12,250,19,196,182,16,0,151,548,232,659,149,30,1,1,0,20,11,0,23,11,0,22,0
327,8,276,714,178,1,6,1,18,39,21,2,2,31,32,1,1,12,246,839,827,179,10,0,273,878,158,658,15,74,1,0,0,14,11,0,17,11,0,35,0
